Date,Price,Open,High,Low,Vol,Change
07/30/2024,66188.0,66784.68,67000.0,65302.67,2.313.225.441,0
07/31/2024,64628.0,66188.0,66849.24,64530.0,2.262.543.905,0
08/01/2024,65354.02,64628.01,65659.78,62302.0,3.554.226.854,0
08/02/2024,61498.33,65354.02,65596.14,61230.01,3.882.042.937,0
08/03/2024,60697.99,61498.34,62198.22,59850.0,2.803.471.567,0
08/04/2024,58161.0,60697.99,61117.63,57122.77,3.161.652.003,0
08/05/2024,54018.81,58161.0,58305.59,49000.0,16.206.559.186,0
08/06/2024,56022.01,54018.82,57040.99,53950.0,5.588.477.676,0
08/07/2024,55134.16,56022.0,57736.05,54558.62,4.426.937.684,0
08/08/2024,61685.99,55133.76,62745.14,54730.0,4.834.952.949,0
08/09/2024,60837.99,61686.0,61744.37,59535.0,3.097.248.017,0
08/10/2024,60923.51,60837.99,61470.58,60242.0,999.520.621,0
08/11/2024,58712.59,60923.51,61858.0,58286.73,1.918.984.512,0
08/12/2024,59346.64,58712.59,60711.09,57642.21,3.700.991.743,0
08/13/2024,60587.15,59346.64,61578.1,58392.88,2.785.895.851,0
08/14/2024,58683.39,60587.16,61800.0,58433.18,2.842.276.326,0
08/15/2024,57541.06,58683.39,59849.38,56078.54,3.768.617.622,0
08/16/2024,58874.6,57541.05,59817.76,57098.62,2.761.084.344,0
08/17/2024,59491.99,58874.59,59700.0,58785.05,772.172.931,0
08/18/2024,58427.35,59491.99,60284.99,58408.92,1.363.485.717,0
08/19/2024,59438.5,58427.35,59617.63,57787.3,2.280.931.251,0
08/20/2024,59013.8,59438.5,61400.0,58548.23,3.147.744.548,0
08/21/2024,61156.03,59013.8,61820.93,58783.47,279.836.422,0
08/22/2024,60375.84,61156.03,61400.0,59724.87,2.124.120.588,0
08/23/2024,64037.24,60375.83,64955.0,60342.14,3.811.807.089,0
08/24/2024,64157.01,64037.24,64494.5,63531.0,1.585.715.616,0
08/25/2024,64220.0,64157.02,65000.0,63773.27,1.230.547.977,0
08/26/2024,62834.0,64219.99,64481.0,62800.0,1.947.005.276,0
08/27/2024,59415.0,62834.0,63212.0,58034.01,3.513.594.178,0
08/28/2024,59034.9,59415.0,60234.98,57860.0,3.686.854.275,0
08/29/2024,59359.01,59034.9,61166.99,58713.09,2.702.090.743,0
08/30/2024,59123.99,59359.0,59944.07,57701.1,2.851.932.195,0
08/31/2024,58973.99,59123.99,59462.38,58744.0,8.798.409,0
09/01/2024,57301.86,58974.0,59076.59,57201.0,2.070.515.741,0
09/02/2024,59132.13,57301.77,59425.69,57128.0,2.289.501.461,0
09/03/2024,57487.73,59132.12,59809.65,57415.0,2.282.818.447,0
09/04/2024,57970.9,57487.74,58519.0,55606.0,3.556.082.146,0
09/05/2024,56180.0,57970.9,58327.07,55643.65,2.780.691.413,0
09/06/2024,53962.97,56180.0,57008.0,52550.0,5.444.776.826,0
09/07/2024,54160.86,53962.97,54850.0,53745.54,1.669.404.774,0
09/08/2024,54869.95,54160.86,55318.0,53629.01,1.627.414.779,0
09/09/2024,57042.0,54869.95,58088.0,54591.96,3.238.451.737,0
09/10/2024,57635.99,57042.01,58044.36,56386.4,2.362.678.126,0
09/11/2024,57338.0,57635.99,57981.71,55545.19,3.302.656.757,0
09/12/2024,58132.32,57338.0,58588.0,57324.0,3.107.440.631,0
09/13/2024,60498.0,58132.31,60625.0,57632.62,2.982.523.333,0
09/14/2024,59993.03,60497.99,60610.45,59400.0,1.213.790.901,0
09/15/2024,59132.0,59993.02,60395.8,58691.05,1.375.792.361,0
09/16/2024,58213.99,59132.0,59210.7,57493.3,264.775.642,0
09/17/2024,60313.99,58213.99,61320.0,57610.01,3.311.625.878,0
09/18/2024,61759.99,60313.99,61786.24,59174.8,3.608.702.469,0
09/19/2024,62947.99,61759.98,63850.0,61555.0,3.433.252.608,0
09/20/2024,63201.05,62948.0,64133.32,62350.0,2.546.637.794,0
09/21/2024,63348.96,63201.05,63559.9,62758.0,837.534.608,0
09/22/2024,63578.76,63348.97,64000.0,62357.93,1.424.219.892,0
